ENGINE_SIZE,CYLINDERS,FUEL_TYPE,CITY,HWY,COMB,COMB_mpg,CO2_EMISSIONS 
5.3,8,E,21.5,14.7,18.5,15,296
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
6,8,X,11.5,9.9,10.8,26,248
6,8,X,11.6,10.1,10.9,26,251
3.6,6,X,14.3,9.9,12.3,23,283
3.6,6,X,14.7,10.4,12.8,22,294
2.4,4,X,11.7,8.2,10.1,28,232
2.4,4,X,13,8.1,10.8,26,248
3.6,6,X,12.5,8.1,10.5,27,242
3.6,6,E,17,11.2,14.4,20,230
2.4,4,X,11.3,8,9.8,29,225
2.4,4,X,11.9,7.6,10,28,230
3.6,6,X,12.5,8.1,10.5,27,242
3.6,6,E,17,11.2,14.4,20,230
3.6,6,X,13.2,8.7,11.2,25,258
3.6,6,E,18.3,12.6,15.7,18,251
5.7,8,X,15.1,9.5,12.6,22,290
5.7,8,X,16.1,10.1,13.4,21,308
3.6,6,X,13.7,9.4,11.8,24,271
3.6,6,E,19.1,13.1,16.4,17,262
2.4,4,X,11.3,8,9.8,29,225
2.4,4,X,11.9,7.6,10,28,230
3.6,6,X,12.5,8.1,10.5,27,242
3.6,6,E,17,11.2,14.4,20,230
2,4,X,10.3,8.7,9.6,29,221
2,4,X,9.8,7.3,8.7,32,200
2.4,4,X,10.9,8.6,9.8,29,225
2.4,4,X,10.3,8.2,9.4,30,216
3.6,6,X,13.2,8.7,11.2,25,258
5.7,8,X,15.4,9.7,12.9,22,297
5.7,8,X,15.1,9.5,12.6,22,290
6.4,8,Z,16.8,10.4,13.9,20,320
6.4,8,Z,17.3,10.9,14.4,20,331
5.7,8,X,15.1,9.5,12.6,22,290
5.7,8,X,16.1,10.1,13.4,21,308
3.6,6,X,13.2,8.7,11.2,25,258
3.6,6,E,18.3,12.6,15.7,18,251
3.7,6,X,16.1,11.5,14,20,322
3.7,6,X,17.3,13.3,15.5,18,357
4.7,8,X,16.8,12.7,15,19,345
4.7,8,E,26.1,18.2,22.5,13,360
4.7,8,X,17.3,12.7,15.2,19,350
4.7,8,E,26.1,19.6,23.1,12,370
5.7,8,X,18.4,11.9,15.5,18,357
3.6,6,X,14.6,10.5,12.7,22,292
3.6,6,E,19.3,14.3,17,17,272
3.6,6,X,13.7,9.4,11.8,24,271
3.6,6,E,19.1,13.1,16.4,17,262
3.6,6,X,13.7,9.4,11.8,24,271
3.6,6,E,19.1,13.1,16.4,17,262
2.4,4,X,12.2,8.9,10.7,26,246
3.6,6,X,14.6,9.9,12.5,23,288
3.6,6,X,14.2,9.3,11.9,24,274
3.6,6,E,18.8,12.8,16.1,18,258
3.7,6,X,15.6,11.4,13.7,21,315
4,6,X,15.1,11.4,13.5,21,311
3.7,6,X,16.5,11.8,14.4,20,331
5.7,8,X,17.1,12,14.8,19,340
5.7,8,X,17.6,12.7,15.4,18,354
4.7,8,X,17.3,12.7,15.2,19,350
4.7,8,E,26.7,18.8,23.1,12,370
4.7,8,X,18.1,13.1,15.9,18,366
4.7,8,E,26.1,19.6,23.1,12,370
4.6,8,X,17.8,14.1,16.1,18,370
4.6,8,E,24.2,19.3,22,13,352
5.4,8,X,19.3,14.9,17.3,16,398
5.4,8,E,24.9,19.7,22.5,13,360
4.6,8,X,18.7,14.7,16.9,17,389
4.6,8,E,25.5,20.2,23.1,12,370
5.4,8,X,20,15.3,17.9,16,412
5.4,8,E,25.7,20.2,23.3,12,373
6.8,10,X,24.2,18.2,21.5,13,495
5.4,8,X,20.6,15.7,18.4,15,423
5.4,8,E,26.7,20.8,24,12,384
3.5,6,X,12.7,9,11,26,253
3.5,6,X,12.7,8.8,10.9,26,251
3.5,6,X,13.4,9.5,11.6,24,267
3.7,6,X,13.7,10.4,12.2,23,281
2.5,4,X,11.4,8.5,10.1,28,232
2.5,4,X,10.4,8.5,9.5,30,219
2.5,4,X,11.8,9,10.6,27,244
3,6,X,13,10.3,11.8,24,271
3,6,E,18,13.9,16.2,17,259
3,6,X,12.3,9.5,11.1,25,255
3,6,E,16.7,12.6,14.8,19,237
2.5,4,X,6.9,7.8,7.3,39,168
2.5,4,X,7.8,8.7,8.2,34,189
5.4,8,X,18.5,13.5,16.2,17,373
5.4,8,E,24.7,18.3,21.8,13,349
3.5,6,X,13.4,9.5,11.6,24,267
3.5,6,X,13.4,9.5,11.6,24,267
3.5,6,X,14,10.4,12.4,23,285
3.5,6,X,14,10.4,12.4,23,285
3.5,6,X,14.5,10.6,12.7,22,292
3.5,6,X,14.6,10.7,12.9,22,297
6.2,8,X,18.7,13.4,16.3,17,375
3.5,6,X,15.5,11.1,13.5,21,311
3.5,6,X,15.6,11.2,13.6,21,313
6.2,8,X,20.2,14.9,17.8,16,409
3.7,6,X,14.5,10.5,12.7,22,292
3.7,6,E,19.1,14.2,16.9,17,270
3.7,6,X,14.4,10.5,12.6,22,290
3.7,6,E,19.3,14.2,17,17,272
5,8,X,15.5,11.4,13.7,21,315
5,8,E,20.7,15.3,18.3,15,293
